Linje,Påstigende,date
20,5422,25/01/2022 00:00
21,410,25/01/2022 00:00
22,242,25/01/2022 00:00
23,255,25/01/2022 00:00
24,4892,25/01/2022 00:00
26,2175,25/01/2022 00:00
27,166,25/01/2022 00:00
28,4140,25/01/2022 00:00
29,131,25/01/2022 00:00
31,114,25/01/2022 00:00
32,142,25/01/2022 00:00
33,3470,25/01/2022 00:00
34,3665,25/01/2022 00:00
35,221,25/01/2022 00:00
36,224,25/01/2022 00:00
40,2159,25/01/2022 00:00
42,5567,25/01/2022 00:00
43,318,25/01/2022 00:00
44,96,25/01/2022 00:00
20,5561,26/01/2022 00:00
21,361,26/01/2022 00:00
22,262,26/01/2022 00:00
23,233,26/01/2022 00:00
24,5350,26/01/2022 00:00
26,2693,26/01/2022 00:00
27,178,26/01/2022 00:00
28,4017,26/01/2022 00:00
29,135,26/01/2022 00:00
31,102,26/01/2022 00:00
32,147,26/01/2022 00:00
33,3468,26/01/2022 00:00
34,3925,26/01/2022 00:00
35,227,26/01/2022 00:00
36,168,26/01/2022 00:00
40,2255,26/01/2022 00:00
42,5275,26/01/2022 00:00
43,236,26/01/2022 00:00
44,82,26/01/2022 00:00
20,5439,27/01/2022 00:00
21,366,27/01/2022 00:00
22,240,27/01/2022 00:00
23,207,27/01/2022 00:00
24,5056,27/01/2022 00:00
26,2742,27/01/2022 00:00
27,176,27/01/2022 00:00
28,4285,27/01/2022 00:00
29,129,27/01/2022 00:00
31,101,27/01/2022 00:00
32,116,27/01/2022 00:00
33,3699,27/01/2022 00:00
34,3964,27/01/2022 00:00
35,187,27/01/2022 00:00
36,206,27/01/2022 00:00
40,2442,27/01/2022 00:00
42,5547,27/01/2022 00:00
43,251,27/01/2022 00:00
44,89,27/01/2022 00:00
20,5830,28/01/2022 00:00
21,374,28/01/2022 00:00
22,223,28/01/2022 00:00
23,183,28/01/2022 00:00
24,5497,28/01/2022 00:00
26,2896,28/01/2022 00:00
27,160,28/01/2022 00:00
28,4476,28/01/2022 00:00
29,125,28/01/2022 00:00
31,80,28/01/2022 00:00
32,110,28/01/2022 00:00
33,3529,28/01/2022 00:00
34,3958,28/01/2022 00:00
35,177,28/01/2022 00:00
36,194,28/01/2022 00:00
40,2561,28/01/2022 00:00
42,6236,28/01/2022 00:00
43,225,28/01/2022 00:00
44,86,28/01/2022 00:00
20,4020,29/01/2022 00:00
24,3029,29/01/2022 00:00
26,2362,29/01/2022 00:00
28,3995,29/01/2022 00:00
33,2359,29/01/2022 00:00
34,2439,29/01/2022 00:00
40,1793,29/01/2022 00:00
42,4037,29/01/2022 00:00
20,1892,30/01/2022 00:00
24,1621,30/01/2022 00:00
26,1466,30/01/2022 00:00
28,1427,30/01/2022 00:00
33,1006,30/01/2022 00:00
34,1118,30/01/2022 00:00
40,1131,30/01/2022 00:00
42,1960,30/01/2022 00:00
20,5325,31/01/2022 00:00
21,353,31/01/2022 00:00
22,230,31/01/2022 00:00
23,171,31/01/2022 00:00
24,5353,31/01/2022 00:00
26,2442,31/01/2022 00:00
27,197,31/01/2022 00:00
28,4031,31/01/2022 00:00
29,145,31/01/2022 00:00
31,109,31/01/2022 00:00
32,130,31/01/2022 00:00
33,3560,31/01/2022 00:00
34,3804,31/01/2022 00:00
35,237,31/01/2022 00:00
36,202,31/01/2022 00:00
40,2176,31/01/2022 00:00
42,5887,31/01/2022 00:00
43,288,31/01/2022 00:00
44,85,31/01/2022 00:00
20,5795,01/02/2022 00:00
21,494,01/02/2022 00:00
22,266,01/02/2022 00:00
23,216,01/02/2022 00:00
24,5212,01/02/2022 00:00
26,2505,01/02/2022 00:00
27,213,01/02/2022 00:00
28,4117,01/02/2022 00:00
29,173,01/02/2022 00:00
31,103,01/02/2022 00:00
32,135,01/02/2022 00:00
33,3898,01/02/2022 00:00
34,4303,01/02/2022 00:00
35,273,01/02/2022 00:00
36,200,01/02/2022 00:00
40,2425,01/02/2022 00:00
42,5615,01/02/2022 00:00
43,320,01/02/2022 00:00
44,70,01/02/2022 00:00
20,5730,02/02/2022 00:00
21,423,02/02/2022 00:00
22,244,02/02/2022 00:00
23,193,02/02/2022 00:00
24,5575,02/02/2022 00:00
26,2466,02/02/2022 00:00
27,194,02/02/2022 00:00
28,4016,02/02/2022 00:00
29,148,02/02/2022 00:00
31,136,02/02/2022 00:00
32,135,02/02/2022 00:00
33,3581,02/02/2022 00:00
34,3847,02/02/2022 00:00
35,227,02/02/2022 00:00
36,228,02/02/2022 00:00
40,2466,02/02/2022 00:00
42,5375,02/02/2022 00:00
43,289,02/02/2022 00:00
44,74,02/02/2022 00:00
20,6043,03/02/2022 00:00
21,487,03/02/2022 00:00
22,282,03/02/2022 00:00
23,210,03/02/2022 00:00
24,5404,03/02/2022 00:00
26,2592,03/02/2022 00:00
27,201,03/02/2022 00:00
28,4241,03/02/2022 00:00
29,163,03/02/2022 00:00
31,141,03/02/2022 00:00
32,126,03/02/2022 00:00
33,3828,03/02/2022 00:00
34,4160,03/02/2022 00:00
35,239,03/02/2022 00:00
36,183,03/02/2022 00:00
40,2381,03/02/2022 00:00
42,5766,03/02/2022 00:00
43,306,03/02/2022 00:00
44,87,03/02/2022 00:00
20,6214,04/02/2022 00:00
21,397,04/02/2022 00:00
22,210,04/02/2022 00:00
23,181,04/02/2022 00:00
24,5765,04/02/2022 00:00
26,2600,04/02/2022 00:00
27,173,04/02/2022 00:00
28,4486,04/02/2022 00:00
29,154,04/02/2022 00:00
31,129,04/02/2022 00:00
32,117,04/02/2022 00:00
33,4104,04/02/2022 00:00
34,4398,04/02/2022 00:00
35,235,04/02/2022 00:00
36,190,04/02/2022 00:00
40,2794,04/02/2022 00:00
42,6138,04/02/2022 00:00
43,275,04/02/2022 00:00
44,69,04/02/2022 00:00
20,4566,05/02/2022 00:00
24,3510,05/02/2022 00:00
26,2415,05/02/2022 00:00
28,4074,05/02/2022 00:00
33,2484,05/02/2022 00:00
34,2691,05/02/2022 00:00
40,1986,05/02/2022 00:00
42,4907,05/02/2022 00:00
20,2041,06/02/2022 00:00
24,1792,06/02/2022 00:00
26,1563,06/02/2022 00:00
28,1574,06/02/2022 00:00
33,1042,06/02/2022 00:00
34,1093,06/02/2022 00:00
40,1277,06/02/2022 00:00
42,2422,06/02/2022 00:00
20,6013,07/02/2022 00:00
21,479,07/02/2022 00:00
22,276,07/02/2022 00:00
23,239,07/02/2022 00:00
24,5574,07/02/2022 00:00
26,2924,07/02/2022 00:00
27,213,07/02/2022 00:00
28,4111,07/02/2022 00:00
29,150,07/02/2022 00:00
31,103,07/02/2022 00:00
32,147,07/02/2022 00:00
33,4152,07/02/2022 00:00
34,4577,07/02/2022 00:00
35,277,07/02/2022 00:00
36,285,07/02/2022 00:00
40,2066,07/02/2022 00:00
42,5905,07/02/2022 00:00
43,316,07/02/2022 00:00
44,95,07/02/2022 00:00
20,6003,08/02/2022 00:00
21,517,08/02/2022 00:00
22,306,08/02/2022 00:00
23,273,08/02/2022 00:00
24,5054,08/02/2022 00:00
26,2801,08/02/2022 00:00
27,223,08/02/2022 00:00
28,4197,08/02/2022 00:00
29,108,08/02/2022 00:00
31,162,08/02/2022 00:00
32,142,08/02/2022 00:00
33,3983,08/02/2022 00:00
34,4393,08/02/2022 00:00
35,310,08/02/2022 00:00
36,303,08/02/2022 00:00
40,2389,08/02/2022 00:00
42,5782,08/02/2022 00:00
43,382,08/02/2022 00:00
44,77,08/02/2022 00:00
20,6069,09/02/2022 00:00
21,364,09/02/2022 00:00
22,303,09/02/2022 00:00
23,265,09/02/2022 00:00
24,5547,09/02/2022 00:00
26,2860,09/02/2022 00:00
27,211,09/02/2022 00:00
28,4513,09/02/2022 00:00
29,147,09/02/2022 00:00
31,145,09/02/2022 00:00
32,139,09/02/2022 00:00
33,4011,09/02/2022 00:00
34,4374,09/02/2022 00:00
35,251,09/02/2022 00:00
36,269,09/02/2022 00:00
40,2497,09/02/2022 00:00
42,6229,09/02/2022 00:00
43,346,09/02/2022 00:00
44,69,09/02/2022 00:00
20,5917,10/02/2022 00:00
21,402,10/02/2022 00:00
22,288,10/02/2022 00:00
23,224,10/02/2022 00:00
24,5408,10/02/2022 00:00
26,2900,10/02/2022 00:00
27,222,10/02/2022 00:00
28,4477,10/02/2022 00:00
29,195,10/02/2022 00:00
31,131,10/02/2022 00:00
32,137,10/02/2022 00:00
33,4095,10/02/2022 00:00
34,4543,10/02/2022 00:00
35,284,10/02/2022 00:00
36,264,10/02/2022 00:00
40,2469,10/02/2022 00:00
42,6197,10/02/2022 00:00
43,359,10/02/2022 00:00
44,95,10/02/2022 00:00
20,6204,11/02/2022 00:00
21,432,11/02/2022 00:00
22,231,11/02/2022 00:00
23,218,11/02/2022 00:00
24,5677,11/02/2022 00:00
26,3221,11/02/2022 00:00
27,186,11/02/2022 00:00
28,4884,11/02/2022 00:00
29,136,11/02/2022 00:00
31,96,11/02/2022 00:00
32,112,11/02/2022 00:00
33,4142,11/02/2022 00:00
34,4447,11/02/2022 00:00
35,234,11/02/2022 00:00
36,198,11/02/2022 00:00
40,2658,11/02/2022 00:00
42,5993,11/02/2022 00:00
43,258,11/02/2022 00:00
44,86,11/02/2022 00:00
20,4736,12/02/2022 00:00
24,3583,12/02/2022 00:00
26,2632,12/02/2022 00:00
28,4501,12/02/2022 00:00
33,2454,12/02/2022 00:00
34,2504,12/02/2022 00:00
40,1968,12/02/2022 00:00
42,4932,12/02/2022 00:00
20,2119,13/02/2022 00:00
24,1852,13/02/2022 00:00
26,1383,13/02/2022 00:00
28,1556,13/02/2022 00:00
33,1062,13/02/2022 00:00
34,1098,13/02/2022 00:00
40,1213,13/02/2022 00:00
42,2309,13/02/2022 00:00
20,6232,14/02/2022 00:00
21,514,14/02/2022 00:00
22,297,14/02/2022 00:00
23,250,14/02/2022 00:00
24,6037,14/02/2022 00:00
26,3115,14/02/2022 00:00
27,239,14/02/2022 00:00
28,4671,14/02/2022 00:00
29,153,14/02/2022 00:00
31,150,14/02/2022 00:00
32,142,14/02/2022 00:00
33,4363,14/02/2022 00:00
34,4712,14/02/2022 00:00
35,299,14/02/2022 00:00
36,304,14/02/2022 00:00
40,2464,14/02/2022 00:00
42,6269,14/02/2022 00:00
43,348,14/02/2022 00:00
44,75,14/02/2022 00:00
20,6169,15/02/2022 00:00
21,308,15/02/2022 00:00
22,293,15/02/2022 00:00
23,276,15/02/2022 00:00
24,5704,15/02/2022 00:00
26,3039,15/02/2022 00:00
27,229,15/02/2022 00:00
28,4514,15/02/2022 00:00
29,175,15/02/2022 00:00
31,93,15/02/2022 00:00
32,138,15/02/2022 00:00
33,4139,15/02/2022 00:00
34,4529,15/02/2022 00:00
35,309,15/02/2022 00:00
36,272,15/02/2022 00:00
40,2414,15/02/2022 00:00
42,5930,15/02/2022 00:00
43,340,15/02/2022 00:00
44,92,15/02/2022 00:00
20,6879,16/02/2022 00:00
21,491,16/02/2022 00:00
22,292,16/02/2022 00:00
23,233,16/02/2022 00:00
24,6089,16/02/2022 00:00
26,3345,16/02/2022 00:00
27,221,16/02/2022 00:00
28,4554,16/02/2022 00:00
29,168,16/02/2022 00:00
31,133,16/02/2022 00:00
32,148,16/02/2022 00:00
33,4155,16/02/2022 00:00
34,4468,16/02/2022 00:00
35,269,16/02/2022 00:00
36,289,16/02/2022 00:00
40,2513,16/02/2022 00:00
42,5949,16/02/2022 00:00
43,366,16/02/2022 00:00
44,99,16/02/2022 00:00
20,6345,17/02/2022 00:00
21,450,17/02/2022 00:00
22,289,17/02/2022 00:00
23,250,17/02/2022 00:00
24,5868,17/02/2022 00:00
26,3069,17/02/2022 00:00
27,253,17/02/2022 00:00
28,4597,17/02/2022 00:00
29,170,17/02/2022 00:00
31,149,17/02/2022 00:00
32,121,17/02/2022 00:00
33,4219,17/02/2022 00:00
34,4376,17/02/2022 00:00
35,298,17/02/2022 00:00
36,256,17/02/2022 00:00
40,2575,17/02/2022 00:00
42,6255,17/02/2022 00:00
43,347,17/02/2022 00:00
44,93,17/02/2022 00:00
20,6438,18/02/2022 00:00
21,487,18/02/2022 00:00
22,196,18/02/2022 00:00
23,216,18/02/2022 00:00
24,6639,18/02/2022 00:00
26,3491,18/02/2022 00:00
27,178,18/02/2022 00:00
28,5152,18/02/2022 00:00
29,136,18/02/2022 00:00
31,109,18/02/2022 00:00
32,101,18/02/2022 00:00
33,4166,18/02/2022 00:00
34,4405,18/02/2022 00:00
35,226,18/02/2022 00:00
36,222,18/02/2022 00:00
40,3002,18/02/2022 00:00
42,6829,18/02/2022 00:00
43,266,18/02/2022 00:00
44,80,18/02/2022 00:00
20,4763,19/02/2022 00:00
24,3931,19/02/2022 00:00
26,2680,19/02/2022 00:00
28,4081,19/02/2022 00:00
33,2514,19/02/2022 00:00
34,2551,19/02/2022 00:00
40,2046,19/02/2022 00:00
42,4930,19/02/2022 00:00
20,2282,20/02/2022 00:00
24,2121,20/02/2022 00:00
26,1722,20/02/2022 00:00
28,1407,20/02/2022 00:00
33,1208,20/02/2022 00:00
34,1181,20/02/2022 00:00
40,1289,20/02/2022 00:00
42,2372,20/02/2022 00:00
20,6232,21/02/2022 00:00
21,514,21/02/2022 00:00
22,297,21/02/2022 00:00
23,250,21/02/2022 00:00
24,6037,21/02/2022 00:00
26,3115,21/02/2022 00:00
27,239,21/02/2022 00:00
28,4671,21/02/2022 00:00
29,153,21/02/2022 00:00
31,150,21/02/2022 00:00
32,142,21/02/2022 00:00
33,4363,21/02/2022 00:00
34,4712,21/02/2022 00:00
35,299,21/02/2022 00:00
36,304,21/02/2022 00:00
40,2464,21/02/2022 00:00
42,6269,21/02/2022 00:00
43,348,21/02/2022 00:00
44,75,21/02/2022 00:00
20,6260,22/02/2022 00:00
21,417,22/02/2022 00:00
22,277,22/02/2022 00:00
23,268,22/02/2022 00:00
24,5635,22/02/2022 00:00
26,3505,22/02/2022 00:00
27,238,22/02/2022 00:00
28,4711,22/02/2022 00:00
29,123,22/02/2022 00:00
31,104,22/02/2022 00:00
32,162,22/02/2022 00:00
33,4369,22/02/2022 00:00
34,4704,22/02/2022 00:00
35,327,22/02/2022 00:00
36,283,22/02/2022 00:00
40,2558,22/02/2022 00:00
42,6127,22/02/2022 00:00
43,340,22/02/2022 00:00
44,100,22/02/2022 00:00
20,6733,23/02/2022 00:00
21,505,23/02/2022 00:00
22,283,23/02/2022 00:00
23,201,23/02/2022 00:00
24,6235,23/02/2022 00:00
26,3206,23/02/2022 00:00
27,236,23/02/2022 00:00
28,4826,23/02/2022 00:00
29,128,23/02/2022 00:00
31,122,23/02/2022 00:00
32,141,23/02/2022 00:00
33,4410,23/02/2022 00:00
34,4533,23/02/2022 00:00
35,278,23/02/2022 00:00
36,281,23/02/2022 00:00
40,2537,23/02/2022 00:00
42,6065,23/02/2022 00:00
43,312,23/02/2022 00:00
44,94,23/02/2022 00:00
20,6656,24/02/2022 00:00
21,474,24/02/2022 00:00
22,298,24/02/2022 00:00
23,225,24/02/2022 00:00
24,5833,24/02/2022 00:00
26,2959,24/02/2022 00:00
27,216,24/02/2022 00:00
28,4663,24/02/2022 00:00
29,144,24/02/2022 00:00
31,131,24/02/2022 00:00
32,116,24/02/2022 00:00
33,4098,24/02/2022 00:00
34,4530,24/02/2022 00:00
35,278,24/02/2022 00:00
36,270,24/02/2022 00:00
40,2579,24/02/2022 00:00
42,6577,24/02/2022 00:00
43,337,24/02/2022 00:00
44,113,24/02/2022 00:00
20,6615,25/02/2022 00:00
21,446,25/02/2022 00:00
22,247,25/02/2022 00:00
23,209,25/02/2022 00:00
24,6243,25/02/2022 00:00
26,3260,25/02/2022 00:00
27,186,25/02/2022 00:00
28,5303,25/02/2022 00:00
29,144,25/02/2022 00:00
31,120,25/02/2022 00:00
32,115,25/02/2022 00:00
33,4176,25/02/2022 00:00
34,4573,25/02/2022 00:00
35,221,25/02/2022 00:00
36,235,25/02/2022 00:00
40,3000,25/02/2022 00:00
42,6696,25/02/2022 00:00
43,284,25/02/2022 00:00
44,94,25/02/2022 00:00
20,4479,26/02/2022 00:00
24,3570,26/02/2022 00:00
26,2549,26/02/2022 00:00
28,4616,26/02/2022 00:00
33,2714,26/02/2022 00:00
34,2542,26/02/2022 00:00
40,2102,26/02/2022 00:00
42,5050,26/02/2022 00:00
20,2213,27/02/2022 00:00
24,1880,27/02/2022 00:00
26,1287,27/02/2022 00:00
28,1315,27/02/2022 00:00
33,1201,27/02/2022 00:00
34,1331,27/02/2022 00:00
