Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;1586;1251;1921;100,0;30;30;0;15;99,1;Totalt i retning UNN;1251;320;22;43;217;37;36;1,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;1476;1172;1780;100,0;30;30;0;11;99,3;Totalt i retning Planetariet;1131;334;61;27;192;54;53;1,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;3062;2423;3701;100,0;30;30;0;26;99,2;Totalt;2382;654;83;70;409;92;89;3,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;1612;1349;1875;100,0;31;31;0;12;99,3;1;1245;355;66;27;207;56;54;2,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;1707;1415;1999;100,0;31;31;0;22;98,7;2;1348;337;23;42;229;43;41;2,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;1708;1416;2000;100,0;31;31;0;23;98,7;Totalt i retning UNN;1348;337;23;42;229;43;41;2,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;1612;1349;1875;100,0;31;31;0;12;99,3;Totalt i retning Planetariet;1245;355;66;27;207;56;54;2,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;3319;2764;3874;100,0;31;31;0;34;99,0;Totalt;2593;691;89;69;435;99;95;4,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;1437;1218;1656;100,0;30;30;0;15;99,0;1;1077;345;62;24;202;57;56;1,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;1521;1278;1764;100,0;30;30;0;36;97,6;2;1152;333;21;45;226;41;40;1,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;1521;1278;1764;100,0;30;30;0;36;97,6;Totalt i retning UNN;1152;333;21;45;226;41;40;1,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;1437;1218;1656;100,0;30;30;0;15;99,0;Totalt i retning Planetariet;1077;345;62;24;202;57;56;1,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;2958;2496;3420;100,0;30;30;0;51;98,3;Totalt;2229;678;83;69;427;98;96;2,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;695;600;790;99,9;31;31;0;9;98,7;1;462;224;33;17;139;36;35;1,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;715;611;819;99,9;31;31;0;10;98,6;2;485;220;13;39;146;22;21;1,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;718;614;822;99,9;31;31;0;10;98,6;Totalt i retning UNN;486;222;14;39;147;23;22;1,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;693;598;788;99,9;31;31;0;10;98,6;Totalt i retning Planetariet;460;223;33;17;138;36;35;1,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;1411;1213;1609;99,9;31;31;0;20;98,6;Totalt;946;445;46;56;285;57;56;1,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;1384;1122;1646;100,0;31;31;0;17;98,8;1;1069;298;59;24;167;48;47;1,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;1363;1098;1628;100,0;31;31;0;29;97,9;2;1051;282;19;42;189;31;30;1,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;1364;1099;1629;100,0;31;31;0;30;97,8;Totalt i retning UNN;1052;282;19;42;189;31;30;1,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;1384;1123;1645;100,0;31;31;0;18;98,7;Totalt i retning Planetariet;1068;298;59;24;167;48;47;1,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;2748;2222;3274;100,0;31;31;0;48;98,3;Totalt;2120;580;78;67;356;79;77;2,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;1753;1485;2021;100,0;30;30;0;19;98,9;1;1353;381;69;29;220;62;60;2,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;1817;1534;2100;100,0;30;30;0;40;97,8;2;1412;366;24;51;244;47;45;2,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;1818;1535;2101;100,0;30;30;0;41;97,7;Totalt i retning UNN;1412;366;24;51;244;47;45;2,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;1752;1484;2020;100,0;30;30;0;18;99,0;Totalt i retning Planetariet;1353;381;69;29;220;62;60;2,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;3570;3019;4121;100,0;30;30;0;59;98,3;Totalt;2765;746;94;80;464;108;105;3,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;1643;1369;1917;100,0;31;31;0;16;99,0;1;1260;368;69;31;198;70;68;2,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;1734;1438;2030;100,0;31;31;0;30;98,3;2;1355;349;25;52;230;43;41;2,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;1734;1438;2030;100,0;31;31;0;30;98,3;Totalt i retning UNN;1355;349;25;52;229;43;41;2,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;1642;1369;1915;100,0;31;31;0;15;99,1;Totalt i retning Planetariet;1259;368;69;31;198;69;67;2,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;3376;2806;3946;100,0;31;31;0;45;98,7;Totalt;2614;717;94;83;428;112;108;4,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;1738;1478;1998;96,7;30;29;1;12;99,3;1;1341;384;75;34;210;65;64;1,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;1863;1575;2151;96,7;30;29;1;23;98,8;2;1477;363;29;62;236;36;35;1,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;1864;1576;2152;96,7;30;29;1;23;98,8;Totalt i retning UNN;1477;363;29;62;236;36;35;1,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;1736;1476;1996;96,7;30;29;1;11;99,4;Totalt i retning Planetariet;1341;384;75;34;210;65;64;1,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;3601;3053;4149;96,7;30;29;1;36;99,0;Totalt;2818;747;104;95;446;102;99;3,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;1293;1020;1566;100,0;31;31;0;10;99,2;1;956;327;54;31;198;45;44;1,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;1404;1109;1699;100,0;31;31;0;15;98,9;2;1069;320;23;44;209;43;41;2,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;1404;1108;1700;100,0;31;31;0;15;98,9;Totalt i retning UNN;1069;321;23;45;209;43;41;2,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;1293;1020;1566;100,0;31;31;0;10;99,2;Totalt i retning Planetariet;956;327;54;31;198;45;44;1,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;2697;2128;3266;100,0;31;31;0;24;99,1;Totalt;2025;648;77;76;407;88;85;3,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;1385;1173;1597;100,0;31;31;0;12;99,1;1;1011;362;59;35;205;62;59;3,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;1496;1261;1731;100,0;31;31;0;8;99,5;2;1120;368;31;56;235;46;44;2,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;1497;1262;1732;100,0;31;31;0;9;99,4;Totalt i retning UNN;1120;368;31;56;235;46;44;2,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;1384;1172;1596;100,0;31;31;0;12;99,1;Totalt i retning Planetariet;1011;361;59;35;205;62;59;3,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;2881;2434;3328;100,0;31;31;0;21;99,3;Totalt;2131;729;90;91;440;107;103;4,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;1485;1260;1710;100,0;28;28;0;12;99,2;1;1101;372;66;35;218;52;51;1,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;1583;1335;1831;100,0;28;28;0;11;99,3;2;1196;376;35;47;245;50;48;2,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;1584;1336;1832;100,0;28;28;0;11;99,3;Totalt i retning UNN;1196;377;35;47;245;50;48;2,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;1484;1259;1709;100,0;28;28;0;12;99,2;Totalt i retning Planetariet;1101;371;66;35;218;52;51;1,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;3068;2596;3540;100,0;28;28;0;23;99,3;Totalt;2297;748;100;82;464;102;99;3,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;1454;1243;1665;100,0;31;31;0;9;99,4;1;1071;374;52;53;228;42;41;1,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;1560;1331;1789;100,0;31;31;0;8;99,5;2;1153;399;38;70;245;47;45;2,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;1561;1332;1790;100,0;31;31;0;9;99,4;Totalt i retning UNN;1153;399;38;70;245;47;45;2,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;1454;1243;1665;100,0;31;31;0;9;99,4;Totalt i retning Planetariet;1071;374;51;53;228;42;41;1,,,,,,,,,,
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;3015;2575;3455;100,0;31;31;0;18;99,4;Totalt;2224;773;89;122;473;89;86;3,,,,,,,,,,
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;7069;6522;7616;100,0;31;31;0;1;100,0;1;6693;375;98;101;168;8;8;0,,,,,,,,,,
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;7073;6553;7593;100,0;31;31;0;1;100,0;2;6690;382;99;106;169;8;8;0,,,,,,,,,,
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;7072;6552;7592;100,0;31;31;0;0;100,0;Totalt i retning Tromsø;6689;382;99;106;169;8;8;0,,,,,,,,,,
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;7070;6523;7617;100,0;31;31;0;1;100,0;Totalt i retning Kvaløya;6694;375;98;101;168;8;8;0,,,,,,,,,,
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;14142;13076;15208;100,0;31;31;0;2;100,0;Totalt;13383;757;197;207;337;16;16;0,,,,,,,,,,
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;7857;7350;8364;100,0;28;28;0;1;100,0;1;7456;401;102;106;178;14;14;0,,,,,,,,,,
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;7853;7368;8338;100,0;28;28;0;5;99,9;2;7427;421;108;118;180;15;15;0,,,,,,,,,,
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;7853;7368;8338;100,0;28;28;0;5;99,9;Totalt i retning Tromsø;7427;421;108;117;180;15;15;0,,,,,,,,,,
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;7857;7350;8364;100,0;28;28;0;1;100,0;Totalt i retning Kvaløya;7455;401;102;106;178;14;14;0,,,,,,,,,,
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;15710;14720;16700;100,0;28;28;0;6;100,0;Totalt;14883;822;211;223;358;29;29;0,,,,,,,,,,
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;8112;7732;8492;100,0;31;31;0;3;100,0;1;7681;429;111;117;183;18;18;0,,,,,,,,,,
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;8113;7741;8485;100,0;31;31;0;1;100,0;2;7682;430;109;119;184;18;18;0,,,,,,,,,,
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;8113;7741;8485;100,0;31;31;0;0;100,0;Totalt i retning Tromsø;7682;430;109;119;184;18;18;0,,,,,,,,,,
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;8112;7732;8492;100,0;31;31;0;3;100,0;Totalt i retning Kvaløya;7681;429;111;117;183;18;18;0,,,,,,,,,,
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;16225;15474;16976;100,0;31;31;0;3;100,0;Totalt;15363;859;220;236;367;36;36;0,,,,,,,,,,
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;7724;7076;8372;100,0;30;30;0;1;100,0;1;7342;381;96;110;160;14;14;0,,,,,,,,,,
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;7715;7087;8343;100,0;30;30;0;1;100,0;2;7331;383;94;113;160;15;15;0,,,,,,,,,,
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;7715;7087;8343;100,0;30;30;0;1;100,0;Totalt i retning Tromsø;7331;383;94;113;160;15;15;0,,,,,,,,,,
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;7724;7076;8372;100,0;30;30;0;1;100,0;Totalt i retning Kvaløya;7342;381;96;110;160;14;14;0,,,,,,,,,,
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;15439;14165;16713;100,0;30;30;0;1;100,0;Totalt;14674;764;191;224;320;29;29;0,,,,,,,,,,
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;8516;7880;9152;100,0;31;31;0;1;100,0;1;8031;483;134;163;171;16;16;0,,,,,,,,,,
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;8503;7918;9088;100,0;31;31;0;1;100,0;2;8024;478;127;164;171;16;16;0,,,,,,,,,,
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;8503;7918;9088;100,0;31;31;0;1;100,0;Totalt i retning Tromsø;8024;478;127;164;171;16;16;0,,,,,,,,,,
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;8516;7880;9152;100,0;31;31;0;1;100,0;Totalt i retning Kvaløya;8031;483;134;163;171;16;16;0,,,,,,,,,,
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;17019;15800;18238;100,0;31;31;0;2;100,0;Totalt;16055;961;261;327;342;32;32;0,,,,,,,,,,
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;9047;8482;9612;100,0;30;30;0;4;100,0;1;8442;601;183;220;181;17;17;0,,,,,,,,,,
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;9003;8491;9515;100,0;30;30;0;1;100,0;2;8401;600;170;231;183;17;17;0,,,,,,,,,,
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;9003;8491;9515;100,0;30;30;0;1;100,0;Totalt i retning Tromsø;8401;600;170;231;183;17;17;0,,,,,,,,,,
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;9047;8482;9612;100,0;30;30;0;4;100,0;Totalt i retning Kvaløya;8442;601;183;220;181;17;17;0,,,,,,,,,,
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;18050;16977;19123;100,0;30;30;0;5;100,0;Totalt;16843;1202;353;451;363;34;34;0,,,,,,,,,,
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;6988;6582;7394;100,0;31;31;0;1;100,0;1;6498;489;161;184;132;11;11;0,,,,,,,,,,
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;6919;6557;7281;100,0;31;31;0;1;100,0;2;6450;468;139;186;132;11;11;0,,,,,,,,,,
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;6919;6557;7281;100,0;31;31;0;1;100,0;Totalt i retning Tromsø;6450;468;139;186;132;11;11;0,,,,,,,,,,
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;6988;6582;7394;100,0;31;31;0;1;100,0;Totalt i retning Kvaløya;6498;489;161;184;132;11;11;0,,,,,,,,,,
